Case Number,External Case Number,Title,Account,Case Type,Channel,Priority,Status,Urgency,Impact,SLA Name,SLA Time Remaining,SLA Breached,Days Open,Activity Count,Last Activity Date,Escalation Count,Email Count,Phase,Phase Change Count,Assigned To,Latest Comment,Support Plan
CS0741201,CS0638979,Unable to Core Share any documents,Waikato Regional Council,Technical Support Case,Portal,3 - Moderate,Open,2 - Medium,2 - Medium,ENT Follow-Up P3,-3d 20h 3m,Yes,28,147,2026-07-28,2,10,Root Cause Analysis,5,Bao Ha,DTreeAncestors table has unexpected record for doc ID 35167451,ENT Default Support
CS0741215,CS0639102,OTDS authentication failing for all SSO users - production down,Deutsche Bank AG,Technical Support Case,Phone,1 - Critical,Open,1 - High,1 - High,ENT Follow-Up P1,-1d 8h 15m,Yes,5,89,2026-08-10,3,14,Investigation,4,,OTDS token validation returning 401 across all federated IdPs. Full SSO outage.,ENT Premium Support
CS0741230,CS0639245,Archive Server retrieval timeout on large document sets,Rio Tinto Mining,Technical Support Case,Email,2 - High,Pending Engineering,1 - High,2 - Medium,ENT Follow-Up P2,-5d 2h 40m,Yes,21,63,2026-07-30,1,8,Fix Development,6,Evelyn Kawrykow,Archive retrieval exceeds 120s timeout for collections >500 docs. Temp workaround: batch retrieval.,ENT Premium Support
CS0741244,CS0639301,Content Server crash during scheduled workflow execution,Telstra Corporation,Technical Support Case,Portal,2 - High,Open,1 - High,1 - High,ENT Follow-Up P2,-2d 14h 50m,Yes,12,34,2026-08-01,2,12,Investigation,3,Marcus Chen,CS crashes with OutOfMemoryError when workflow engine processes >200 concurrent assignments.,ENT Premium Support
CS0741256,CS0639388,Search indexing fails after Content Server patch 27.2.0.3340,Ministry of Health NZ,Technical Support Case,Portal,3 - Moderate,Pending Support,2 - Medium,2 - Medium,ENT Follow-Up P3,1d 4h 20m,No,16,42,2026-08-07,0,6,Testing,4,Sarah Mitchell,Solr re-index completes but new documents not appearing in search results post-patch.,ENT Default Support
CS0741263,CS0639412,WebReports dashboard rendering blank for specific user groups,Deutsche Bank AG,Technical Support Case,Email,3 - Moderate,Open,2 - Medium,2 - Medium,ENT Follow-Up P3,0d 6h 45m,No,10,28,2026-08-09,1,7,Root Cause Analysis,3,Bao Ha,Permission inheritance issue on WebReports folder. Group ACL not propagating.,ENT Premium Support
CS0741278,CS0639450,Records Management classification plan import error,NSW Department of Education,Technical Support Case,Portal,3 - Moderate,Pending Engineering,2 - Medium,2 - Medium,ENT Follow-Up P3,2d 10h 30m,No,18,55,2026-08-04,0,4,Fix Development,5,James Rodriguez,XML import of classification plan fails at node depth >8. Schema validation passes.,ENT Default Support
CS0741285,CS0639478,Email notification templates not rendering HTML correctly,Auckland Transport,Technical Support Case,Email,3 - Moderate,Open,2 - Medium,3 - Low,ENT Follow-Up P3,3d 1h 15m,No,14,19,2026-08-02,0,6,Investigation,2,Priya Sharma,Notification emails showing raw HTML tags in Outlook. Works in webmail clients.,ENT Default Support
CS0741292,CS0639501,Content Suite workspace template duplication creates orphan nodes,Rio Tinto Mining,Technical Support Case,Portal,3 - Moderate,Pending Support,2 - Medium,2 - Medium,ENT Follow-Up P3,1d 18h 0m,No,9,37,2026-08-08,1,5,Root Cause Analysis,4,Marcus Chen,Duplicated workspace has 12 orphan nodes in DTreeCore. Parent references point to source workspace.,ENT Premium Support
CS0741305,CS0639534,Need assistance configuring SAML 2.0 for OTDS,Bank of Queensland,Technical Support Case,Portal,4 - Low,Pending Customer,3 - Low,3 - Low,ENT Follow-Up P4,12d 5h 30m,No,3,8,2026-08-11,0,2,Investigation,1,Sarah Mitchell,Sent SAML configuration guide and metadata template. Awaiting customer IdP metadata.,ENT Default Support
CS0741312,CS0639567,Workflow map designer - save button greyed out intermittently,Waikato Regional Council,Technical Support Case,Portal,4 - Low,Open,3 - Low,3 - Low,ENT Follow-Up P4,18d 12h 0m,No,5,12,2026-08-10,0,3,Investigation,1,Priya Sharma,Appears related to session timeout. Save button recovers after page refresh.,ENT Default Support
CS0741325,CS0639590,Request to increase max upload file size from 100MB to 500MB,Ministry of Health NZ,Technical Support Case,Email,4 - Low,Pending Customer,3 - Low,3 - Low,ENT Follow-Up P4,20d 0h 0m,No,7,5,2026-08-11,0,2,Pending Support,1,James Rodriguez,Provided configuration steps for IIS and Content Server upload limits. Awaiting change window.,ENT Default Support
CS0741338,CS0639623,Transport Package export fails for packages >2GB,NSW Department of Education,Technical Support Case,Portal,3 - Moderate,Pending Engineering,2 - Medium,2 - Medium,ENT Follow-Up P3,5d 8h 45m,No,8,22,2026-08-09,0,3,Fix Development,2,Evelyn Kawrykow,Known limitation in 27.1. Fix included in 27.2.1 patch. ETA 2 weeks.,ENT Default Support
CS0741345,CS0639656,PDF rendition quality degraded after server migration,Auckland Transport,Technical Support Case,Portal,3 - Moderate,Open,2 - Medium,3 - Low,ENT Follow-Up P3,8d 14h 20m,No,4,15,2026-08-10,0,2,Investigation,1,Bao Ha,Ghostscript version mismatch between old and new server. Recommending upgrade to 10.02.,ENT Default Support
CS0741358,CS0639689,Connected Workspace sync delay between CS and Teams,Telstra Corporation,Technical Support Case,Email,3 - Moderate,Pending Support,2 - Medium,2 - Medium,ENT Follow-Up P3,4d 22h 10m,No,6,18,2026-08-11,0,4,Root Cause Analysis,2,Sarah Mitchell,Sync queue backed up. Azure AD connector throttling detected. Adjusting batch size.,ENT Premium Support
CS0741365,CS0639712,Content Server - slow query on Enterprise.DTreeNotify table,Rio Tinto Mining,Technical Support Case,Portal,3 - Moderate,Pending Support,2 - Medium,2 - Medium,ENT Follow-Up P3,6d 10h 0m,No,7,25,2026-08-10,0,3,Root Cause Analysis,2,Marcus Chen,DTreeNotify table has 4.2M rows. Recommending archival of notifications older than 90 days.,ENT Premium Support
